"event","action"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_admire_art1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_admire_art1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_admire_art1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_admire_art1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_admire_art1_scene1","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/lookAt"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_admire_art1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_admire_art1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_admire_art1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_admire_art1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_admire_art1_scene3","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/lookAt"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_admire_art1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_admire_art1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_admire_art1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_admire_art1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event4_admire_art1_scene5","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/lookAt"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_admire_art1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_admire_art1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_admire_art1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_admire_art1_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/lookAt"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_admire_art2_scene2","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_admire_art2_scene2","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_admire_art2_scene2","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_admire_art2_scene2","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/lookAt"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_admire_art2_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_admire_art2_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event2_admire_art2_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/turnTo"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event3_admire_art2_scene4","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/lookAt"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event0_admire_art2_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
"http://kgrc4si.home.kg/virtualhome2kg/instance/event1_admire_art2_scene6","http://kgrc4si.home.kg/virtualhome2kg/ontology/action/walk"
