"obj","obj2","size_x1","size_y1","size_z1","center_x1","center_y1","center_z1","size_x2","size_y2","size_z2","center_x2","center_y2","center_z2"
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bedroom75_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,8.0,3.0,8.0,-7.61,1.25,-5.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling100_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,2.5,9.05991e-06,2.5,-5.10999,2.5,-8.0
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling101_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,2.5,9.05991e-06,2.5,-5.10999,2.5,-5.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling365_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,2.5,9.05991e-06,2.5,2.389,2.5,-7.97821
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling366_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,2.5,9.05991e-06,2.5,2.389,2.5,-10.4782
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/cpuscreen178_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.207812,0.487877,0.74128,-4.3857,1.21794,-7.53
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/cpuscreen439_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,0.288628,0.677607,0.9266,1.76469,1.2978,-10.3382
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/cupcake191_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.11826,0.128896,0.118259,-4.677,1.02665,-6.893
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/cupcake192_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.0998473,0.0992232,0.0998843,-4.574,1.01019,-6.83
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/keyboard175_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.221636,0.0491364,0.707199,-4.766,0.979567,-7.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/keyboard438_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,0.199472,0.0442227,0.636479,2.185,0.97511,-10.32
