"obj","obj2","size_x1","size_y1","size_z1","center_x1","center_y1","center_z1","size_x2","size_y2","size_z2","center_x2","center_y2","center_z2"
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/chair110_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.6341,1.3277,0.629,-5.033,0.781,-7.48
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/computer177_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,0.671386,0.699182,0.245748,-4.6225,0.349591,-6.79
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/computer440_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,0.671386,0.662383,0.232814,2.0345,0.331191,-9.5982
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,1.068,0.95,2.028,-4.468,0.475,-7.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,1.068,0.95,2.028,1.809,0.475,-10.1272
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/floor348_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,2.5,9.04997e-06,2.5,2.389,0.0,-7.9782
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk380_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/floor349_scene1",1.068,0.95,2.028,1.809,0.475,-10.1272,2.5,9.04997e-06,2.5,2.389,0.0,-10.4782
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/floor82_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,2.5,9.04997e-06,2.5,-5.11,0.0,-8.0
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk111_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/floor83_scene1",1.068,0.95,2.028,-4.468,0.475,-7.5,2.5,9.04997e-06,2.5,-5.11,0.0,-5.5
"http://kgrc4si.home.kg/virtualhome2kg/instance/desk293_scene3","http://kgrc4si.home.kg/virtualhome2kg/instance/chair295_scene3",1.068,0.95,2.028,-10.6015,0.475,-0.3175,0.5236,0.8415,0.4012,-11.1775,0.495,-0.2995
