"inside_object","outside_object"
"http://kgrc4si.home.kg/virtualhome2kg/instance/perfume58_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/deodorant59_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/towelrack42_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling28_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/toothpaste64_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/wall24_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/floor15_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/bathtub39_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/stall47_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/wall20_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/faucet52_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/wallshelf44_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/hairproduct60_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/curtains32_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/towel69_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcabinet49_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/sink51_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/wall18_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/doorjamb54_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/walllamp37_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/floor17_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/ceiling30_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/towel56_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroom11_scene1"
