"upper_object","lower_object"
"http://kgrc4si.home.kg/virtualhome2kg/instance/toothpaste64_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/perfume58_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/towel56_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/barsoap68_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/painkillers65_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/deodorant59_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/towel55_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/faucet52_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/waterglass66_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/toothbrush67_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bathroomcounter50_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/pillow190_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bed112_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/pillow189_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bed112_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/book441_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/book443_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/folder207_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bookshelf108_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/book195_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bookshelf108_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/folder206_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bookshelf108_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/box289_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bookshelf251_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/dishbowl290_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bookshelf251_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/box442_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/bookshelf377_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/folder461_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/cabinet422_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer124_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer125_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer123_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer126_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer126_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer127_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer125_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer128_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer127_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer129_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/clothespants138_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer150_scene1"
"http://kgrc4si.home.kg/virtualhome2kg/instance/clothesshirt132_scene1","http://kgrc4si.home.kg/virtualhome2kg/instance/closetdrawer150_scene1"
